,symbol_id,simillar_symbol_id,score
395,338100.KS,330590.KS,0.008512
396,338100.KS,293940.KS,0.008434
397,338100.KS,088260.KS,0.006643
398,338100.KS,365550.KS,0.005781
399,338100.KS,395400.KS,0.005253
400,034310.KS,RYSAS.IS,0.02105
401,034310.KS,SUNTECK.NS,0.010516
402,034310.KS,030190.KQ,0.006899
403,034310.KS,EDELWEISS.NS,0.006055
404,034310.KS,RAIN.NS,0.00603
405,008260.KS,009190.KS,0.005003
406,008260.KS,007280.KS,0.00466
407,008260.KS,001230.KS,0.004576
408,008260.KS,008420.KS,0.004497
409,008260.KS,002710.KS,0.004497
410,004255.KS,005725.KS,0.005307
411,004255.KS,004250.KS,0.005294
412,004255.KS,004365.KS,0.005101
413,004255.KS,011785.KS,0.004639
414,004255.KS,002355.KS,0.004298
415,004250.KS,005720.KS,0.005413
416,004250.KS,004255.KS,0.005294
417,004250.KS,002350.KS,0.005097
418,004250.KS,004360.KS,0.004864
419,004250.KS,003720.KS,0.00431
420,010060.KS,009540.KS,0.03479
421,010060.KS,009830.KS,0.032651
422,010060.KS,005490.KS,0.031394
423,010060.KS,011170.KS,0.029916
424,010060.KS,000720.KS,0.029547
425,010955.KS,010950.KS,0.020255
426,010955.KS,000815.KS,0.009846
427,010955.KS,096775.KS,0.009691
428,010955.KS,000810.KS,0.008523
429,010955.KS,017670.KS,0.008334
430,010950.KS,005490.KS,0.048979
431,010950.KS,011170.KS,0.048827
432,010950.KS,017670.KS,0.048689
433,010950.KS,055550.KS,0.047789
434,010950.KS,015760.KS,0.047644
435,005090.KS,004370.KS,0.00598
436,005090.KS,004000.KS,0.005893
437,005090.KS,001120.KS,0.005595
438,005090.KS,003410.KS,0.005536
439,005090.KS,012750.KS,0.005507
440,001380.KS,093230.KS,0.005337
441,001380.KS,001790.KS,0.005221
442,001380.KS,001360.KS,0.005107
443,001380.KS,004410.KS,0.004631
444,001380.KS,000050.KS,0.004612
445,001770.KS,001740.KS,0.003947
446,001770.KS,001780.KS,0.003325
447,001770.KS,001880.KS,0.003308
448,001770.KS,001450.KS,0.003306
449,001770.KS,001430.KS,0.003268
450,002360.KS,001510.KS,0.004365
451,002360.KS,001520.KS,0.004251
452,002360.KS,002630.KS,0.004055
453,002360.KS,001740.KS,0.003925
454,002360.KS,000070.KS,0.003813
455,009160.KS,009240.KS,0.004972
456,009160.KS,011790.KS,0.004848
457,009160.KS,010060.KS,0.004462
458,009160.KS,004370.KS,0.004396
459,009160.KS,012330.KS,0.004126
460,123700.KS,041650.KS,0.001772
461,123700.KS,115570.KQ,0.001583
462,123700.KS,007370.KQ,0.00158
463,123700.KS,123690.KS,0.001574
464,123700.KS,111110.KS,0.001572
465,025530.KS,024070.KS,0.003724
466,025530.KS,016880.KS,0.003668
467,025530.KS,029530.KS,0.003634
468,025530.KS,016580.KS,0.003488
469,025530.KS,015890.KS,0.003333
470,03473K.KS,034730.KS,0.009456
